Estratégia de Vacinação contra HPV - 2015
Coberturas vacinais - HPV Quadrivalente D2 - CSV - Sexo feminino de 9 a 12 anos de idade
UF;REGIONAL;NOM_MUN;09A-POP;09A-DOS;09A-COB;10A-POP;10A-DOS;10A-COB;11A-POP;11A-DOS;11A-COB;12A-POP;12A-DOS;12A-COB;TOT-POP-09-12;TOT-DOS-09-12;TOT-COB-09-12
BA;CAETITE;291740 - JACARACI;53;29;54,72;113;75;66,37;120;95;79,17;62;14;22,40;348;213;61,12;
BA;CAETITE;291200 - IBIASSUCE;35;37;104,23;70;70;100,00;70;58;82,86;34;26;75,36;210;191;90,95;
BA;CAETITE;292180 - MORTUGABA;44;30;67,42;94;71;75,53;100;81;81,00;53;20;37,74;291;202;69,30;
BA;CAETITE;291875 - LAGOA REAL;65;23;35,38;135;62;45,93;141;35;24,82;72;37;51,03;413;157;37,97;
BA;CAETITE;293105 - TANQUE NOVO;75;0;0,00;152;1;0,66;153;0;0,00;77;0;0,00;457;1;0,22;
BA;CAETITE;292680 - RIO DO ANTONIO;68;55;80,88;139;141;101,44;142;103;72,54;72;57;78,62;421;356;84,46;
BA;CAETITE;292640 - RIACHO DE SANTANA;136;27;19,78;277;80;28,88;279;102;36,56;142;56;39,44;834;265;31,76;
BA;CAETITE;291940 - LICINIO DE ALMEIDA;47;81;170,53;95;147;154,74;94;85;90,43;47;49;104,26;283;362;127,69;
BA;CAETITE;;877;364;41,51;1793;963;53,71;1832;766;41,81;936;404;43,16;5438;2497;45,92;
BA;ITABUNA;291620 - ITAPE;46;8;17,39;93;36;38,71;95;27;28,42;47;45;94,74;281;116;41,21;
BA;ITABUNA;293230 - UBATA;121;18;14,81;248;32;12,90;253;40;15,81;128;22;17,12;751;112;14,91;
BA;ITABUNA;290560 - CAMACAN;160;21;13,08;328;50;15,24;335;104;31,04;169;43;25,44;992;218;21,96;
BA;ITABUNA;290800 - COARACI;85;12;14,04;169;23;13,61;167;49;29,34;83;31;37,13;505;115;22,77;
BA;ITABUNA;291150 - GONGOGI;39;1;2,53;80;1;1,25;82;7;8,54;41;4;9,64;243;13;5,35;
BA;ITABUNA;291480 - ITABUNA;806;119;14,76;1652;77;4,66;1694;173;10,21;863;118;13,67;5016;487;9,71;
BA;ITABUNA;291855 - JUSSARI;29;6;20,34;62;8;12,90;65;21;32,31;33;2;6,06;189;37;19,53;
BA;ITABUNA;290090 - ALMADINA;27;5;18,52;57;19;33,33;61;20;32,79;31;28;88,89;176;72;40,79;
BA;ITABUNA;291210 - IBICARAI;111;15;13,51;224;40;17,86;224;30;13,39;112;28;25,00;671;113;16,84;
BA;ITABUNA;291550 - ITAJUIPE;90;5;5,56;182;32;17,58;184;48;26,09;93;46;49,20;549;131;23,84;
BA;ITABUNA;293220 - UBAITABA;95;7;7,33;191;17;8,90;189;33;17,46;95;7;7,33;571;64;11,21;
BA;ITABUNA;290470 - BUERAREMA;85;23;27,06;177;33;18,64;184;68;36,96;94;37;39,36;540;161;29,81;
BA;ITABUNA;291660 - ITAPITANGA;45;16;35,16;92;15;16,30;91;41;45,05;46;16;34,78;274;88;32,06;
BA;ITABUNA;292390 - PAU BRASIL;61;29;47,15;122;55;45,08;120;64;53,33;58;19;32,48;362;167;46,13;
BA;ITABUNA;290330 - BARRO PRETO;24;2;8,33;54;7;12,96;61;8;13,11;32;1;3,08;171;18;10,50;
BA;ITABUNA;291270 - IBIRAPITANGA;131;16;12,21;269;199;73,98;277;217;78,34;140;165;117,44;817;597;73,03;
BA;ITABUNA;290240 - AURELINO LEAL;66;9;13,53;138;23;16,67;142;35;24,65;73;101;138,36;419;168;40,05;
BA;ITABUNA;291100 - FLORESTA AZUL;48;0;0,00;99;15;15,15;101;35;34,65;51;9;17,48;299;59;19,70;
BA;ITABUNA;291540 - ITAJU DO COLONIA;37;14;37,84;72;40;55,56;68;43;63,24;33;19;57,58;210;116;55,24;
BA;ITABUNA;292935 - SAO JOSE DA VITORIA;28;3;10,71;57;11;19,30;58;21;36,21;29;11;37,29;172;46;26,67;
BA;ITABUNA;292780 - SANTA CRUZ DA VITORIA;28;17;59,65;58;16;27,59;60;41;68,33;30;6;19,67;177;80;45,20;
BA;ITABUNA;;2167;346;15,96;4424;749;16,93;4511;1125;24,94;2288;758;33,13;13390;2978;22,24;
BA;AMARGOSA;291880 - LAJE;106;8;7,55;218;41;18,81;224;47;20,98;113;31;27,31;661;127;19,20;
BA;AMARGOSA;291685 - ITATIM;67;16;23,88;136;48;35,29;137;74;54,01;69;22;31,88;409;160;39,12;
BA;AMARGOSA;293210 - UBAIRA;92;41;44,32;187;60;32,09;187;82;43,85;94;37;39,15;561;220;39,22;
BA;AMARGOSA;292240 - MUTUIPE;96;47;48,70;193;101;52,33;193;118;61,14;97;48;49,48;579;314;54,18;
BA;AMARGOSA;290100 - AMARGOSA;158;52;32,81;317;133;41,96;313;163;52,08;156;60;38,34;945;408;43,17;
BA;AMARGOSA;292130 - MILAGRES;52;13;24,76;108;33;30,56;111;51;45,95;56;33;58,41;328;130;39,63;
BA;AMARGOSA;291820 - JIQUIRICA;63;24;38,10;129;48;37,21;132;61;46,21;67;17;25,37;391;150;38,36;
BA;AMARGOSA;292280 - NOVA ITARANA;36;23;63,89;78;28;35,90;84;50;59,52;44;6;13,48;242;107;44,12;
BA;AMARGOSA;291030 - ELISIO MEDRADO;29;6;20,69;59;26;44,07;59;17;28,81;30;12;40,00;177;61;34,46;
BA;AMARGOSA;292940 - SAO MIGUEL DAS MATAS;48;14;28,87;98;35;35,71;99;46;46,46;49;27;54,55;295;122;41,36;
BA;AMARGOSA;;749;244;32,56;1523;553;36,31;1539;709;46,07;778;293;37,66;4589;1799;39,20;
BA;GUANAMBI;291733 - IUIU;52;36;68,57;107;85;79,44;109;89;81,65;55;23;41,44;324;233;71,91;
BA;GUANAMBI;292105 - MATINA;53;55;102,80;110;79;71,82;114;111;97,37;59;22;37,29;336;267;79,35;
BA;GUANAMBI;292450 - PINDAI;61;42;68,85;123;71;57,72;122;70;57,38;62;48;76,80;368;231;62,69;
BA;GUANAMBI;293260 - URANDI;71;31;43,66;147;82;55,78;151;121;80,13;77;26;33,55;446;260;58,23;
BA;GUANAMBI;290660 - CANDIBA;51;32;62,75;102;70;68,63;102;102;100,00;51;27;52,94;306;231;75,49;
BA;GUANAMBI;292020 - MALHADA;89;39;43,58;186;98;52,69;193;108;55,96;98;52;53,06;566;297;52,43;
BA;GUANAMBI;291170 - GUANAMBI;307;135;43,90;634;226;35,65;655;312;47,63;337;110;32,59;1934;783;40,49;
BA;GUANAMBI;290710 - CARINHANHA;159;136;85,53;325;270;83,08;332;263;79,22;167;115;68,66;983;784;79,72;
BA;GUANAMBI;292340 - PALMAS DE MONTE ALTO;92;44;47,83;191;95;49,74;199;99;49,75;102;29;28,29;584;267;45,68;
BA;GUANAMBI;293000 - SEBASTIAO LARANJEIRAS;45;19;41,76;96;51;53,13;102;59;57,84;53;10;18,69;297;139;46,80;
BA;GUANAMBI;;982;569;57,91;2021;1127;55,76;2079;1334;64,17;1064;462;43,40;6147;3492;56,81;
BA;JACOBINA;290510 - CAEM;51;5;9,80;107;15;14,02;113;17;15,04;58;15;25,86;329;52;15,81;
BA;JACOBINA;292010 - MAIRI;90;13;14,44;188;28;14,89;196;35;17,86;100;18;17,91;574;94;16,36;
BA;JACOBINA;292980 - SAUDE;50;33;66,00;97;66;68,04;94;49;52,13;46;24;52,17;287;172;59,93;
BA;JACOBINA;291750 - JACOBINA;353;82;23,23;727;235;32,32;750;253;33,73;382;97;25,36;2212;667;30,15;
BA;JACOBINA;292480 - PIRITIBA;109;13;11,93;223;43;19,28;227;51;22,47;114;78;68,12;673;185;27,47;
BA;JACOBINA;292140 - MIRANGABA;83;13;15,57;173;46;26,59;180;27;15,00;92;12;13,04;528;98;18,54;
BA;JACOBINA;293245 - UMBURANAS;88;17;19,21;185;48;25,95;194;44;22,68;99;21;21,11;567;130;22,93;
BA;JACOBINA;292335 - OUROLANDIA;85;0;0,00;176;11;6,25;181;13;7,18;91;5;5,46;534;29;5,43;
BA;JACOBINA;292593 - QUIXABEIRA;44;6;13,64;91;22;24,18;94;39;41,49;47;1;2,11;276;68;24,59;
BA;JACOBINA;293130 - TAPIRAMUTA;83;30;36,14;173;61;35,26;182;86;47,25;94;12;12,70;532;189;35,49;
BA;JACOBINA;293060 - SERROLANDIA;52;48;91,43;108;44;40,74;110;50;45,45;56;37;66,07;326;179;54,82;
BA;JACOBINA;293315 - VARZEA NOVA;60;28;46,67;126;37;29,37;133;59;44,36;69;16;23,02;388;140;36,04;
BA;JACOBINA;290687 - CAPIM GROSSO;120;0;0,00;245;12;4,90;249;22;8,84;126;18;14,29;740;52;7,02;
BA;JACOBINA;292120 - MIGUEL CALMON;112;23;20,44;235;35;14,89;247;69;27,94;128;38;29,69;722;165;22,84;
BA;JACOBINA;293305 - VARZEA DA ROCA;64;6;9,38;135;11;8,15;142;30;21,13;73;18;24,49;414;65;15,68;
BA;JACOBINA;293310 - VARZEA DO POCO;33;20;59,70;70;54;77,14;72;72;100,00;37;18;48,00;213;164;77,00;
BA;JACOBINA;292170 - MORRO DO CHAPEU;180;73;40,44;378;155;41,01;398;205;51,51;203;68;33,42;1160;501;43,19;
BA;JACOBINA;290550 - CALDEIRAO GRANDE;63;23;36,22;122;69;56,56;116;64;55,17;57;27;47,37;358;183;51,05;
BA;JACOBINA;292937 - SAO JOSE DO JACUIPE;50;20;40,00;101;58;57,43;102;97;95,10;51;25;49,02;304;200;65,79;
BA;JACOBINA;;1774;453;25,53;3660;1050;28,69;3780;1282;33,92;1928;548;28,42;11143;3333;29,91;
BA;JUAZEIRO;293200 - UAUA;105;18;17,14;220;50;22,73;231;98;42,42;119;65;54,39;675;231;34,20;
BA;JUAZEIRO;290990 - CURACA;163;127;77,68;331;273;82,48;336;254;75,60;169;73;43,07;1000;727;72,70;
BA;JUAZEIRO;292600 - REMANSO;189;24;12,66;386;34;8,81;392;68;17,35;198;41;20,71;1165;167;14,33;
BA;JUAZEIRO;291840 - JUAZEIRO;956;173;18,09;1934;561;29,01;1954;630;32,24;983;699;71,07;5828;2063;35,40;
BA;JUAZEIRO;293020 - SENTO SE;206;50;24,21;417;95;22,78;422;124;29,38;211;70;33,18;1256;339;26,98;
BA;JUAZEIRO;290720 - CASA NOVA;331;71;21,42;670;369;55,07;676;213;31,51;338;27;7,98;2016;680;33,73;
BA;JUAZEIRO;293077 - SOBRADINHO;112;21;18,67;230;78;33,91;236;108;45,76;119;89;74,79;697;296;42,44;
BA;JUAZEIRO;292440 - PILAO ARCADO;184;20;10,84;375;72;19,20;381;93;24,41;191;53;27,68;1132;238;21,02;
BA;JUAZEIRO;290590 - CAMPO ALEGRE DE LOURDES;145;51;35,17;302;175;57,95;315;156;49,52;162;90;55,56;924;472;51,08;
BA;JUAZEIRO;;2394;555;23,18;4865;1707;35,09;4943;1744;35,28;2492;1207;48,43;14695;5213;35,47;
BA;SALVADOR;290860 - CONDE;148;0;0,00;306;5;1,63;316;16;5,06;159;20;12,54;929;41;4,41;
BA;SALVADOR;292520 - POJUCA;147;59;40,14;304;129;42,43;315;155;49,21;161;50;31,06;927;393;42,39;
BA;SALVADOR;292975 - SAUBARA;47;0;0,00;98;3;3,06;101;12;11,88;51;3;5,88;297;18;6,05;
BA;SALVADOR;290570 - CAMACARI;1069;234;21,88;2207;697;31,58;2289;717;31,32;1171;492;42,02;6736;2140;31,77;
BA;SALVADOR;290650 - CANDEIAS;350;40;11,43;735;111;15,10;777;198;25,48;400;80;20,00;2262;429;18,97;
BA;SALVADOR;292740 - SALVADOR;9510;2287;24,05;19746;5132;25,99;20588;8030;39,00;10599;4108;38,76;60443;19557;32,36;
BA;SALVADOR;291610 - ITAPARICA;96;21;21,76;200;32;16,00;209;91;43,54;106;82;77,00;612;226;36,93;
BA;SALVADOR;293320 - VERA CRUZ;184;50;27,10;381;133;34,91;395;125;31,65;200;91;45,50;1160;399;34,38;
BA;SALVADOR;292860 - SANTO AMARO;244;1;0,41;517;2;0,39;551;2;0,36;284;14;4,92;1596;19;1,19;
BA;SALVADOR;291005 - DIAS D¿AVILA;321;20;6,23;646;61;9,44;651;82;12,60;326;57;17,46;1944;220;11,31;
BA;SALVADOR;293070 - SIMOES FILHO;547;44;8,04;1140;113;9,91;1194;253;21,19;612;278;45,39;3493;688;19,69;
BA;SALVADOR;291992 - MADRE DE DEUS;78;6;7,64;165;12;7,27;174;22;12,64;89;7;7,82;507;47;9,27;
BA;SALVADOR;291920 - LAURO DE FREITAS;699;36;5,15;1441;84;5,83;1491;96;6,44;758;107;14,12;4389;323;7,36;
BA;SALVADOR;292100 - MATA DE SAO JOAO;191;37;19,37;384;103;26,82;386;166;43,01;193;94;48,70;1154;400;34,66;
