Estratégia de Vacinação contra HPV - 2015
Coberturas vacinais - HPV Quadrivalente D2 - CSV - Sexo feminino de 9 a 12 anos de idade
UF;REGIONAL;NOM_MUN;09A-POP;09A-DOS;09A-COB;10A-POP;10A-DOS;10A-COB;11A-POP;11A-DOS;11A-COB;12A-POP;12A-DOS;12A-COB;TOT-POP-09-12;TOT-DOS-09-12;TOT-COB-09-12
SE;REGIAO NOSSA SENHORA DA GLORIA;280220 - FEIRA NOVA;29;9;30,51;60;35;58,33;62;55;88,71;31;20;63,49;183;119;65,03;
SE;REGIAO NOSSA SENHORA DA GLORIA;280540 - POCO REDONDO;183;47;25,68;373;121;32,44;381;109;28,61;192;51;26,49;1129;328;29,04;
SE;REGIAO NOSSA SENHORA DA GLORIA;280260 - GRACHO CARDOSO;25;11;43,14;53;33;62,26;56;34;60,71;29;15;51,72;163;93;56,88;
SE;REGIAO NOSSA SENHORA DA GLORIA;280560 - PORTO DA FOLHA;137;103;74,91;289;184;63,67;304;163;53,62;156;89;56,87;887;539;60,77;
SE;REGIAO NOSSA SENHORA DA GLORIA;280420 - MONTE ALEGRE DE SERGIPE;74;22;29,53;154;27;17,53;160;26;16,25;81;28;34,36;470;103;21,91;
SE;REGIAO NOSSA SENHORA DA GLORIA;280450 - NOSSA SENHORA DA GLORIA;159;9;5,66;332;28;8,43;349;54;15,47;179;33;18,44;1019;124;12,17;
SE;REGIAO NOSSA SENHORA DA GLORIA;280120 - CANINDE DE SAO FRANCISCO;156;20;12,78;321;77;23,99;330;119;36,06;166;61;36,75;973;277;28,45;
SE;REGIAO NOSSA SENHORA DA GLORIA;;848;257;30,31;1750;573;32,74;1813;657;36,24;922;327;35,47;5333;1814;34,01;
SE;;;9598;3356;34,97;19926;7493;37,60;20759;9457;45,56;10646;4661;43,78;60929;24967;40,98;
SP;GVE - X OSASCO;351500 - EMBU;1070;681;63,62;2234;1398;62,58;2341;1699;72,58;1200;866;72,14;6846;4644;67,84;
SP;GVE - X OSASCO;351300 - COTIA;877;245;27,92;1822;755;41,44;1898;647;34,09;969;290;29,93;5566;1937;34,80;
SP;GVE - X OSASCO;353440 - OSASCO;2534;4577;180,62;5265;11345;215,48;5498;8497;154,55;2816;2723;96,68;16113;27142;168,44;
SP;GVE - X OSASCO;350570 - BARUERI;1009;917;90,88;2111;1551;73,47;2219;1647;74,22;1143;1183;103,45;6482;5298;81,73;
SP;GVE - X OSASCO;352250 - ITAPEVI;966;694;71,81;2016;1398;69,35;2112;1087;51,47;1082;435;40,20;6176;3614;58,51;
SP;GVE - X OSASCO;352500 - JANDIRA;461;153;33,15;962;251;26,09;1008;334;33,13;519;210;40,46;2950;948;32,13;
SP;GVE - X OSASCO;352620 - JUQUITIBA;134;40;29,74;285;61;21,40;304;100;32,89;157;40;25,48;880;241;27,37;
SP;GVE - X OSASCO;351510 - EMBU-GUACU;282;167;59,22;591;340;57,53;622;401;64,47;319;146;45,77;1814;1054;58,10;
SP;GVE - X OSASCO;351060 - CARAPICUIBA;1542;421;27,30;3189;1183;37,10;3313;844;25,48;1691;913;53,99;9735;3361;34,52;
SP;GVE - X OSASCO;355280 - TABOAO DA SERRA;1028;145;14,11;2141;490;22,89;2242;317;14,14;1148;190;16,55;6559;1142;17,41;
SP;GVE - X OSASCO;354730 - SANTANA DE PARNAIBA;484;600;123,97;1002;585;58,38;1041;594;57,06;530;260;49,01;3057;2039;66,69;
SP;GVE - X OSASCO;352220 - ITAPECERICA DA SERRA;685;469;68,47;1432;918;64,11;1505;773;51,36;772;338;43,78;4394;2498;56,85;
SP;GVE - X OSASCO;353910 - PIRAPORA DO BOM JESUS;81;45;55,56;171;34;19,88;181;60;33,15;92;38;41,08;525;177;33,68;
SP;GVE - X OSASCO;354995 - SAO LOURENCO DA SERRA;58;25;43,10;121;74;61,16;127;52;40,94;65;28;43,08;371;179;48,25;
SP;GVE - X OSASCO;355645 - VARGEM GRANDE PAULISTA;182;68;37,26;383;205;53,52;404;173;42,82;207;74;35,66;1177;520;44,18;
