Estratégia de Vacinação contra HPV - 2015
Coberturas vacinais - HPV Quadrivalente D1 - CSV - Sexo feminino de 9 a 11 anos de idade 
UF;REGIONAL;NOM_MUN;09A-POP;09A-DOS;09A-COB;10A-POP;10A-DOS;10A-COB;11A-POP;11A-DOS;11A-COB;TOT-POP-09-11;TOT-DOS-09-11;TOT-COB-09-11
RS;15 -DRS- PALMEIRA DAS MISSOES;431370 - PALMEIRA DAS MISSOES;278;184;66,19;292;177;60,62;308;146;47,40;878;507;57,74;
RS;15 -DRS- PALMEIRA DAS MISSOES;431845 - SAO JOSE DAS MISSOES;19;25;131,58;21;14;66,67;23;7;30,43;63;46;73,02;
RS;15 -DRS- PALMEIRA DAS MISSOES;430215 - BOA VISTA DAS MISSOES;16;13;81,25;18;16;88,89;21;12;57,14;55;41;74,55;
RS;15 -DRS- PALMEIRA DAS MISSOES;430912 - GRAMADO DOS LOUREIROS;18;14;77,78;20;7;35,00;22;1;4,55;60;22;36,67;
RS;15 -DRS- PALMEIRA DAS MISSOES;431936 - SAO PEDRO DAS MISSOES;17;11;64,71;17;14;82,35;16;12;75,00;50;37;74,00;
RS;15 -DRS- PALMEIRA DAS MISSOES;430642 - DOIS IRMAOS DAS MISSOES;18;13;72,22;18;13;72,22;18;11;61,11;54;37;68,52;
RS;15 -DRS- PALMEIRA DAS MISSOES;;1238;1044;84,33;1293;845;65,35;1348;691;51,26;3879;2580;66,51;
RS;19- DRS- FREDERICO WESTPHALEN;431050 - IRAI;61;40;65,57;62;34;54,84;62;18;29,03;185;92;49,73;
RS;19- DRS- FREDERICO WESTPHALEN;431445 - PINHAL;15;14;93,33;16;14;87,50;16;4;25,00;47;32;68,09;
RS;19- DRS- FREDERICO WESTPHALEN;432020 - SEBERI;84;62;73,81;90;62;68,89;97;31;31,96;271;155;57,20;
RS;19- DRS- FREDERICO WESTPHALEN;430340 - CAICARA;35;39;111,43;36;36;100,00;35;26;74,29;106;101;95,28;
RS;19- DRS- FREDERICO WESTPHALEN;430050 - ALPESTRE;50;64;128,00;55;47;85,45;60;33;55,00;165;144;87,27;
RS;19- DRS- FREDERICO WESTPHALEN;431470 - PLANALTO;84;68;80,95;88;51;57,95;93;46;49,46;265;165;62,26;
RS;19- DRS- FREDERICO WESTPHALEN;430632 - DERRUBADAS;25;16;64,00;26;19;73,08;27;24;88,89;78;59;75,64;
RS;19- DRS- FREDERICO WESTPHALEN;430730 - ERVAL SECO;63;60;95,24;63;39;61,90;64;34;53,13;190;133;70,00;
