Estratégia de Vacinação contra HPV - 2015
Coberturas vacinais - HPV Quadrivalente D1 - CSV - Sexo feminino de 9 a 11 anos de idade 
UF;REGIONAL;NOM_MUN;09A-POP;09A-DOS;09A-COB;10A-POP;10A-DOS;10A-COB;11A-POP;11A-DOS;11A-COB;TOT-POP-09-11;TOT-DOS-09-11;TOT-COB-09-11
AL;V MICRO REGIAO DE SAUDE;270150 - CAMPO GRANDE;104;111;106,73;110;93;84,55;116;80;68,97;330;284;86,06;
AL;V MICRO REGIAO DE SAUDE;270260 - FEIRA GRANDE;211;338;160,19;222;233;104,95;234;171;73,08;667;742;111,24;
AL;V MICRO REGIAO DE SAUDE;270200 - COITE DO NOIA;111;82;73,87;112;68;60,71;112;107;95,54;335;257;76,72;
AL;V MICRO REGIAO DE SAUDE;270880 - SAO SEBASTIAO;354;319;90,11;365;291;79,73;377;52;13,79;1096;662;60,40;
AL;V MICRO REGIAO DE SAUDE;270410 - LAGOA DA CANOA;191;259;135,60;196;199;101,53;199;132;66,33;586;590;100,68;
AL;V MICRO REGIAO DE SAUDE;270290 - GIRAU DO PONCIANO;435;410;94,25;445;296;66,52;454;251;55,29;1334;957;71,74;
AL;V MICRO REGIAO DE SAUDE;270420 - LIMOEIRO DE ANADIA;280;155;55,36;286;91;31,82;292;107;36,64;858;353;41,14;
AL;V MICRO REGIAO DE SAUDE;270590 - OLHO D'AGUA GRANDE;58;29;50,00;62;20;32,26;65;14;21,54;185;63;34,05;
AL;V MICRO REGIAO DE SAUDE;;4629;4775;103,15;4797;3678;76,67;4973;2823;56,77;14399;11276;78,31;
AL;X MICRO REGIAO DE SAUDE;270170 - CAPELA;197;247;125,38;201;161;80,10;206;81;39,32;604;489;80,96;
AL;X MICRO REGIAO DE SAUDE;270940 - VICOSA;264;313;118,56;276;190;68,84;288;187;64,93;828;690;83,33;
AL;X MICRO REGIAO DE SAUDE;270700 - PINDOBA;31;48;154,84;30;22;73,33;28;24;85,71;89;94;105,62;
AL;X MICRO REGIAO DE SAUDE;270130 - CAJUEIRO;234;352;150,43;242;180;74,38;250;198;79,20;726;730;100,55;
AL;X MICRO REGIAO DE SAUDE;270190 - CHA PRETA;84;81;96,43;84;67;79,76;85;49;57,65;253;197;77,87;
AL;X MICRO REGIAO DE SAUDE;270660 - PAULO JACINTO;74;78;105,41;75;45;60,00;75;25;33,33;224;148;66,07;
AL;X MICRO REGIAO DE SAUDE;;884;1119;126,58;908;665;73,24;932;564;60,52;2724;2348;86,20;
AL;II MICRO REGIAO DE SAUDE;270350 - JACUIPE;82;53;64,63;89;46;51,69;96;9;9,38;267;108;40,45;
AL;II MICRO REGIAO DE SAUDE;270450 - MARAGOGI;332;172;51,81;341;123;36,07;350;118;33,71;1023;413;40,37;
AL;II MICRO REGIAO DE SAUDE;270360 - JAPARATINGA;93;48;51,61;90;92;102,22;85;112;131,76;268;252;94,03;
AL;II MICRO REGIAO DE SAUDE;270730 - PORTO CALVO;301;127;42,19;310;161;51,94;320;120;37,50;931;408;43,82;
AL;II MICRO REGIAO DE SAUDE;270740 - PORTO DE PEDRAS;90;17;18,89;90;46;51,11;91;31;34,07;271;94;34,69;
AL;II MICRO REGIAO DE SAUDE;270650 - PASSO DE CAMARAGIBE;177;181;102,26;177;126;71,19;176;104;59,09;530;411;77,55;
AL;II MICRO REGIAO DE SAUDE;270510 - MATRIZ DE CAMARAGIBE;281;130;46,26;291;106;36,43;300;107;35,67;872;343;39,33;
AL;II MICRO REGIAO DE SAUDE;270850 - SAO LUIS DO QUITUNDE;407;265;65,11;415;218;52,53;424;179;42,22;1246;662;53,13;
AL;II MICRO REGIAO DE SAUDE;270870 - SAO MIGUEL DOS MILAGRES;70;47;67,14;69;43;62,32;68;28;41,18;207;118;57,00;
AL;II MICRO REGIAO DE SAUDE;;1833;1040;56,74;1872;961;51,34;1910;808;42,30;5615;2809;50,03;
AL;IV MICRO REGIAO DE SAUDE;270670 - PENEDO;599;504;84,14;632;436;68,99;671;345;51,42;1902;1285;67,56;
AL;IV MICRO REGIAO DE SAUDE;270820 - SAO BRAS;73;69;94,52;75;56;74,67;77;37;48,05;225;162;72,00;
AL;IV MICRO REGIAO DE SAUDE;270680 - PIACABUCU;185;176;95,14;197;121;61,42;213;75;35,21;595;372;62,52;
AL;IV MICRO REGIAO DE SAUDE;270320 - IGREJA NOVA;236;277;117,37;243;246;101,23;250;169;67,60;729;692;94,92;
AL;IV MICRO REGIAO DE SAUDE;270750 - PORTO REAL DO COLEGIO;194;149;76,80;202;100;49,50;211;59;27,96;607;308;50,74;
AL;IV MICRO REGIAO DE SAUDE;;1287;1175;91,30;1349;959;71,09;1422;685;48,17;4058;2819;69,47;
AL;IX MICRO REGIAO DE SAUDE;270080 - BELEM;44;32;72,73;47;21;44,68;50;21;42,00;141;74;52,48;
AL;IX MICRO REGIAO DE SAUDE;270310 - IGACI;246;435;176,83;252;415;164,68;258;357;138,37;756;1207;159,66;
AL;IX MICRO REGIAO DE SAUDE;270480 - MARIBONDO;137;121;88,32;141;80;56,74;146;57;39,04;424;258;60,85;
AL;IX MICRO REGIAO DE SAUDE;270120 - CACIMBINHAS;103;92;89,32;109;54;49,54;117;55;47,01;329;201;61,09;
AL;IX MICRO REGIAO DE SAUDE;270760 - QUEBRANGULO;111;95;85,59;115;73;63,48;118;44;37,29;344;212;61,63;
AL;IX MICRO REGIAO DE SAUDE;270490 - MAR VERMELHO;34;35;102,94;34;29;85,29;34;23;67,65;102;87;85,29;
AL;IX MICRO REGIAO DE SAUDE;270440 - MAJOR ISIDORO;205;122;59,51;212;97;45,75;220;70;31,82;637;289;45,37;
AL;IX MICRO REGIAO DE SAUDE;270900 - TANQUE D'ARCA;58;32;55,17;60;25;41,67;62;31;50,00;180;88;48,89;
AL;IX MICRO REGIAO DE SAUDE;270530 - MINADOR DO NEGRAO;48;24;50,00;50;28;56,00;52;12;23,08;150;64;42,67;
AL;IX MICRO REGIAO DE SAUDE;270255 - ESTRELA DE ALAGOAS;173;172;99,42;181;122;67,40;188;63;33,51;542;357;65,87;
AL;IX MICRO REGIAO DE SAUDE;270630 - PALMEIRA DOS INDIOS;627;561;89,47;645;373;57,83;664;322;48,49;1936;1256;64,88;
AL;IX MICRO REGIAO DE SAUDE;;1786;1721;96,36;1846;1317;71,34;1909;1055;55,26;5541;4093;73,87;
AL;VI MICRO REGIAO DE SAUDE;270070 - BATALHA;184;107;58,15;186;51;27,42;188;53;28,19;558;211;37,81;
AL;VI MICRO REGIAO DE SAUDE;270620 - PALESTINA;69;45;65,22;75;50;66,67;81;20;24,69;225;115;51,11;
AL;VI MICRO REGIAO DE SAUDE;270090 - BELO MONTE;78;66;84,62;82;55;67,07;86;40;46,51;246;161;65,45;
AL;VI MICRO REGIAO DE SAUDE;270540 - MONTEIROPOLIS;89;92;103,37;94;73;77,66;98;48;48,98;281;213;75,80;
AL;VI MICRO REGIAO DE SAUDE;270640 - PAO DE ACUCAR;239;441;184,52;266;291;109,40;297;231;77,78;802;963;120,07;
AL;VI MICRO REGIAO DE SAUDE;270340 - JACARE DOS HOMENS;62;58;93,55;62;26;41,94;62;27;43,55;186;111;59,68;
AL;VI MICRO REGIAO DE SAUDE;270840 - SAO JOSE DA TAPERA;402;251;62,44;425;226;53,18;451;171;37,92;1278;648;50,70;
AL;VI MICRO REGIAO DE SAUDE;;1123;1060;94,39;1190;772;64,87;1263;590;46,71;3576;2422;67,73;
AL;XI MICRO REGIAO DE SAUDE;270550 - MURICI;306;193;63,07;311;183;58,84;315;135;42,86;932;511;54,83;
AL;XI MICRO REGIAO DE SAUDE;270110 - BRANQUINHA;123;190;154,47;124;168;135,48;124;162;130,65;371;520;140,16;
AL;XI MICRO REGIAO DE SAUDE;270300 - IBATEGUARA;185;196;105,95;198;160;80,81;212;114;53,77;595;470;78,99;
AL;XI MICRO REGIAO DE SAUDE;270830 - SAO JOSE DA LAJE;263;202;76,81;274;132;48,18;286;124;43,36;823;458;55,65;
AL;XI MICRO REGIAO DE SAUDE;270810 - SANTANA DO MUNDAU;117;89;76,07;124;63;50,81;133;58;43,61;374;210;56,15;
AL;XI MICRO REGIAO DE SAUDE;270930 - UNIAO DOS PALMARES;694;924;133,14;718;596;83,01;743;436;58,68;2155;1956;90,77;
AL;XI MICRO REGIAO DE SAUDE;;1688;1794;106,28;1749;1302;74,44;1813;1029;56,76;5250;4125;78,57;
AL;III MICRO REGIAO DE SAUDE;270020 - ANADIA;172;130;75,58;176;105;59,66;180;78;43,33;528;313;59,28;
AL;III MICRO REGIAO DE SAUDE;270780 - ROTEIRO;84;105;125,00;86;45;52,33;87;35;40,23;257;185;71,98;
AL;III MICRO REGIAO DE SAUDE;270100 - BOCA DA MATA;278;205;73,74;287;306;106,62;297;333;112,12;862;844;97,91;
AL;III MICRO REGIAO DE SAUDE;270140 - CAMPO ALEGRE;584;467;79,97;598;508;84,95;613;549;89,56;1795;1524;84,90;
AL;III MICRO REGIAO DE SAUDE;270375 - JEQUIA DA PRAIA;131;138;105,34;134;84;62,69;136;73;53,68;401;295;73,57;
AL;III MICRO REGIAO DE SAUDE;270860 - SAO MIGUEL DOS CAMPOS;580;499;86,03;581;403;69,36;581;352;60,59;1742;1254;71,99;
AL;III MICRO REGIAO DE SAUDE;;1829;1544;84,42;1862;1451;77,93;1894;1420;74,97;5585;4415;79,05;
AL;VII MICRO REGIAO DE SAUDE;270330 - INHAPI;224;131;58,48;231;73;31,60;238;53;22,27;693;257;37,09;
AL;VII MICRO REGIAO DE SAUDE;270710 - PIRANHAS;286;329;115,03;299;281;93,98;312;243;77,88;897;853;95,09;
AL;VII MICRO REGIAO DE SAUDE;270642 - PARICONHA;118;83;70,34;120;55;45,83;121;28;23,14;359;166;46,24;
AL;VII MICRO REGIAO DE SAUDE;270010 - AGUA BRANCA;222;115;51,80;230;134;58,26;238;99;41,60;690;348;50,43;
AL;VII MICRO REGIAO DE SAUDE;270500 - MATA GRANDE;291;190;65,29;302;152;50,33;314;84;26,75;907;426;46,97;
AL;VII MICRO REGIAO DE SAUDE;270240 - DELMIRO GOUVEIA;483;229;47,41;495;206;41,62;509;201;39,49;1487;636;42,77;
AL;VII MICRO REGIAO DE SAUDE;270580 - OLHO D'AGUA DO CASADO;97;75;77,32;100;67;67,00;104;32;30,77;301;174;57,81;
AL;VII MICRO REGIAO DE SAUDE;;1721;1152;66,94;1777;968;54,47;1836;740;40,31;5334;2860;53,62;
AL;XII MICRO REGIAO DE SAUDE;270390 - JUNDIA;47;67;142,55;51;50;98,04;56;45;80,36;154;162;105,19;
AL;XII MICRO REGIAO DE SAUDE;270135 - CAMPESTRE;80;55;68,75;86;41;47,67;92;29;31,52;258;125;48,45;
AL;XII MICRO REGIAO DE SAUDE;270280 - FLEXEIRAS;147;113;76,87;150;85;56,67;152;31;20,39;449;229;51,00;
AL;XII MICRO REGIAO DE SAUDE;270560 - NOVO LINO;136;145;106,62;140;127;90,71;146;109;74,66;422;381;90,28;
AL;XII MICRO REGIAO DE SAUDE;270380 - JOAQUIM GOMES;282;212;75,18;282;206;73,05;281;178;63,35;845;596;70,53;
AL;XII MICRO REGIAO DE SAUDE;270210 - COLONIA LEOPOLDINA;239;164;68,62;240;158;65,83;240;138;57,50;719;460;63,98;
AL;XII MICRO REGIAO DE SAUDE;;931;756;81,20;949;667;70,28;967;530;54,81;2847;1953;68,60;
AL;VIII MICRO REGIAO DE SAUDE;270160 - CANAPI;219;155;70,78;223;167;74,89;228;169;74,12;670;491;73,28;
AL;VIII MICRO REGIAO DE SAUDE;270600 - OLIVENCA;133;147;110,53;138;135;97,83;145;95;65,52;416;377;90,63;
AL;VIII MICRO REGIAO DE SAUDE;270180 - CARNEIROS;108;93;86,11;109;80;73,39;110;41;37,27;327;214;65,44;
AL;VIII MICRO REGIAO DE SAUDE;270460 - MARAVILHA;107;106;99,07;112;90;80,36;119;54;45,38;338;250;73,96;
AL;VIII MICRO REGIAO DE SAUDE;270610 - OURO BRANCO;122;108;88,52;126;115;91,27;131;121;92,37;379;344;90,77;
AL;VIII MICRO REGIAO DE SAUDE;270250 - DOIS RIACHOS;111;160;144,14;118;124;105,08;126;80;63,49;355;364;102,54;
AL;VIII MICRO REGIAO DE SAUDE;270800 - SANTANA DO IPANEMA;515;415;80,58;525;352;67,05;535;258;48,22;1575;1025;65,08;
AL;VIII MICRO REGIAO DE SAUDE;270720 - POCO DAS TRINCHEIRAS;166;136;81,93;170;97;57,06;174;58;33,33;510;291;57,06;
AL;VIII MICRO REGIAO DE SAUDE;270895 - SENADOR RUI PALMEIRA;170;140;82,35;175;144;82,29;181;157;86,74;526;441;83,84;
AL;VIII MICRO REGIAO DE SAUDE;270570 - OLHO D'AGUA DAS FLORES;227;200;88,11;239;236;98,74;253;127;50,20;719;563;78,30;
AL;VIII MICRO REGIAO DE SAUDE;;1878;1660;88,39;1935;1540;79,59;2002;1160;57,94;5815;4360;74,98;
AL;XIII MICRO REGIAO DE SAUDE;270230 - CORURIPE;553;488;88,25;561;360;64,17;569;229;40,25;1683;1077;63,99;
AL;XIII MICRO REGIAO DE SAUDE;270400 - JUNQUEIRO;256;274;107,03;261;233;89,27;264;142;53,79;781;649;83,10;
AL;XIII MICRO REGIAO DE SAUDE;270270 - FELIZ DESERTO;47;20;42,55;49;22;44,90;51;12;23,53;147;54;36,73;
AL;XIII MICRO REGIAO DE SAUDE;270915 - TEOTONIO VILELA;494;357;72,27;507;244;48,13;521;264;50,67;1522;865;56,83;
AL;XIII MICRO REGIAO DE SAUDE;;1350;1139;84,37;1378;859;62,34;1405;647;46,05;4133;2645;64,00;
AL;;;31843;30309;95,18;32878;24321;73,97;34007;20354;59,85;98728;74984;75,95;
AM;RIO JURUA;130150 - ENVIRA;234;265;113,25;242;269;111,16;253;278;109,88;729;812;111,39;
AM;RIO JURUA;130165 - GUAJARA;204;184;90,20;207;162;78,26;210;166;79,05;621;512;82,45;
AM;RIO JURUA;130180 - IPIXUNA;353;106;30,03;339;87;25,66;322;142;44,10;1014;335;33,04;
AM;RIO JURUA;130100 - CARAUARI;371;346;93,26;377;315;83,55;385;380;98,70;1133;1041;91,88;
AM;RIO JURUA;130140 - EIRUNEPE;421;420;99,76;417;299;71,70;411;266;64,72;1249;985;78,86;
AM;RIO JURUA;130195 - ITAMARATI;113;63;55,75;115;81;70,43;118;74;62,71;346;218;63,01;
AM;RIO JURUA;;1696;1384;81,60;1697;1213;71,48;1699;1306;76,87;5092;3903;76,65;
AM;RIO PURUS;130240 - LABREA;502;331;65,94;501;372;74,25;500;523;104,60;1503;1226;81,57;
AM;RIO PURUS;130350 - PAUINI;256;164;64,06;256;164;64,06;256;149;58,20;768;477;62,11;
AM;RIO PURUS;130410 - TAPAUA;237;121;51,05;231;85;36,80;224;109;48,66;692;315;45,52;
AM;RIO PURUS;130090 - CANUTAMA;156;133;85,26;159;132;83,02;161;159;98,76;476;424;89,08;
AM;RIO PURUS;130070 - BOCA DO ACRE;377;181;48,01;383;191;49,87;389;110;28,28;1149;482;41,95;
AM;RIO PURUS;;1528;930;60,86;1530;944;61,70;1530;1050;68,63;4588;2924;63,73;
AM;TRIANGULO;130420 - TEFE;812;1079;132,88;806;703;87,22;798;484;60,65;2416;2266;93,79;
AM;TRIANGULO;130220 - JURUA;167;171;102,40;166;132;79,52;164;109;66,46;497;412;82,90;
AM;TRIANGULO;130280 - MARAA;248;173;69,76;248;147;59,27;247;117;47,37;743;437;58,82;
AM;TRIANGULO;130210 - JAPURA;96;65;67,71;97;43;44,33;100;22;22,00;293;130;44,37;
AM;TRIANGULO;130426 - UARINI;165;172;104,24;158;119;75,32;149;143;95,97;472;434;91,95;
AM;TRIANGULO;130002 - ALVARAES;212;96;45,28;206;77;37,38;200;39;19,50;618;212;34,30;
AM;TRIANGULO;;1700;1756;103,29;1681;1221;72,64;1658;914;55,13;5039;3891;77,22;
AM;RIO MADEIRA;130014 - APUI;203;195;96,06;210;123;58,57;219;72;32,88;632;390;61,71;
AM;RIO MADEIRA;130080 - BORBA;468;403;86,11;469;279;59,49;470;130;27,66;1407;812;57,71;
AM;RIO MADEIRA;130170 - HUMAITA;562;453;80,60;575;346;60,17;588;199;33,84;1725;998;57,86;
AM;RIO MADEIRA;130270 - MANICORE;615;329;53,50;627;349;55,66;639;221;34,59;1881;899;47,79;
AM;RIO MADEIRA;130330 - NOVO ARIPUANA;279;204;73,12;279;280;100,36;278;193;69,42;836;677;80,98;
AM;RIO MADEIRA;;2127;1584;74,47;2160;1377;63,75;2194;815;37,15;6481;3776;58,26;
AM;ALTO SOLIMOES;130230 - JUTAI;256;154;60,16;248;157;63,31;240;135;56,25;744;446;59,95;
AM;ALTO SOLIMOES;130006 - AMATURA;121;246;203,31;127;106;83,46;134;34;25,37;382;386;101,05;
AM;ALTO SOLIMOES;130160 - FONTE BOA;300;73;24,33;299;107;35,79;297;93;31,31;896;273;30,47;
AM;ALTO SOLIMOES;130406 - TABATINGA;691;687;99,42;673;485;72,07;652;445;68,25;2016;1617;80,21;
AM;ALTO SOLIMOES;130423 - TONANTINS;234;236;100,85;239;123;51,46;245;105;42,86;718;464;64,62;
AM;ALTO SOLIMOES;130020 - ATALAIA DO NORTE;199;157;78,89;194;74;38,14;189;40;21,16;582;271;46,56;
AM;ALTO SOLIMOES;130060 - BENJAMIN CONSTANT;433;484;111,78;430;279;64,88;427;153;35,83;1290;916;71,01;
AM;ALTO SOLIMOES;130370 - SANTO ANTONIO DO ICA;345;241;69,86;340;111;32,65;334;174;52,10;1019;526;51,62;
AM;ALTO SOLIMOES;130390 - SAO PAULO DE OLIVENCA;437;405;92,68;435;180;41,38;433;109;25,17;1305;694;53,18;
AM;ALTO SOLIMOES;;3016;2683;88,96;2985;1622;54,34;2951;1288;43,65;8952;5593;62,48;
AM;BAIXO SOLIMOES;130290 - MAUES;719;703;97,77;724;521;71,96;732;281;38,39;2175;1505;69,20;
AM;BAIXO SOLIMOES;130300 - NHAMUNDA;247;206;83,40;246;190;77,24;243;72;29,63;736;468;63,59;
AM;BAIXO SOLIMOES;130340 - PARINTINS;1337;823;61,56;1363;806;59,13;1389;589;42,40;4089;2218;54,24;
AM;BAIXO SOLIMOES;130050 - BARREIRINHA;414;511;123,43;410;428;104,39;406;425;104,68;1230;1364;110,89;
AM;BAIXO SOLIMOES;130068 - BOA VISTA DO RAMOS;229;106;46,29;230;177;76,96;231;226;97,84;690;509;73,77;
AM;BAIXO SOLIMOES;;2946;2349;79,74;2973;2122;71,38;3001;1593;53,08;8920;6064;67,98;
AM;MEDIO SOLIMOES;130400 - SILVES;109;115;105,50;108;108;100,00;107;24;22,43;324;247;76,23;
AM;MEDIO SOLIMOES;130430 - URUCARA;231;176;76,19;228;162;71,05;223;253;113,45;682;591;86,66;
AM;MEDIO SOLIMOES;130200 - ITAPIRANGA;100;111;111,00;100;135;135,00;100;106;106,00;300;352;117,33;
AM;MEDIO SOLIMOES;130190 - ITACOATIARA;1074;1173;109,22;1092;1159;106,14;1111;1119;100,72;3277;3451;105,31;
AM;MEDIO SOLIMOES;130440 - URUCURITUBA;239;210;87,87;243;157;64,61;247;121;48,99;729;488;66,94;
AM;MEDIO SOLIMOES;130395 - SAO SEBASTIAO DO UATUMA;150;45;30,00;149;36;24,16;146;16;10,96;445;97;21,80;
AM;MEDIO SOLIMOES;;1903;1830;96,16;1920;1757;91,51;1934;1639;84,75;5757;5226;90,78;
AM;MANAUS E ENTORNO;130260 - MANAUS;17507;10400;59,40;17961;9590;53,39;18487;5696;30,81;53955;25686;47,61;
AM;MANAUS E ENTORNO;130030 - AUTAZES;438;280;63,93;438;100;22,83;438;72;16,44;1314;452;34,40;
AM;MANAUS E ENTORNO;130110 - CAREIRO;428;194;45,33;437;170;38,90;446;320;71,75;1311;684;52,17;
AM;MANAUS E ENTORNO;130040 - BARCELOS;304;37;12,17;316;38;12,03;330;30;9,09;950;105;11,05;
AM;MANAUS E ENTORNO;130185 - IRANDUBA;531;412;77,59;528;409;77,46;523;357;68,26;1582;1178;74,46;
AM;MANAUS E ENTORNO;130255 - MANAQUIRI;320;145;45,31;317;159;50,16;314;85;27,07;951;389;40,90;
AM;MANAUS E ENTORNO;130356 - RIO PRETO DA EVA;303;393;129,70;304;274;90,13;305;180;59,02;912;847;92,87;
AM;MANAUS E ENTORNO;130115 - CAREIRO DA VARZEA;267;320;119,85;275;252;91,64;284;112;39,44;826;684;82,81;
AM;MANAUS E ENTORNO;130310 - NOVA OLINDA DO NORTE;414;355;85,75;419;223;53,22;424;209;49,29;1257;787;62,61;
AM;MANAUS E ENTORNO;130353 - PRESIDENTE FIGUEIREDO;336;370;110,12;344;289;84,01;354;135;38,14;1034;794;76,79;
AM;MANAUS E ENTORNO;130380 - SAO GABRIEL DA CACHOEIRA;501;495;98,80;503;261;51,89;505;248;49,11;1509;1004;66,53;
AM;MANAUS E ENTORNO;130360 - SANTA ISABEL DO RIO NEGRO;264;149;56,44;262;83;31,68;260;71;27,31;786;303;38,55;
AM;MANAUS E ENTORNO;;21613;13550;62,69;22104;11848;53,60;22670;7515;33,15;66387;32913;49,58;
AM;RIO NEGRO E SOLIMOES;130008 - ANAMA;145;101;69,66;142;130;91,55;138;65;47,10;425;296;69,65;
AM;RIO NEGRO E SOLIMOES;130010 - ANORI;221;96;43,44;226;119;52,65;232;127;54,74;679;342;50,37;
AM;RIO NEGRO E SOLIMOES;130120 - COARI;930;827;88,92;945;623;65,93;961;368;38,29;2836;1818;64,10;
AM;RIO NEGRO E SOLIMOES;130063 - BERURI;243;205;84,36;240;209;87,08;238;82;34,45;721;496;68,79;
AM;RIO NEGRO E SOLIMOES;130130 - CODAJAS;319;203;63,64;318;254;79,87;315;258;81,90;952;715;75,11;
AM;RIO NEGRO E SOLIMOES;130083 - CAAPIRANGA;150;68;45,33;150;53;35,33;150;19;12,67;450;140;31,11;
AM;RIO NEGRO E SOLIMOES;130250 - MANACAPURU;1102;1129;102,45;1119;1089;97,32;1135;702;61,85;3356;2920;87,01;
AM;RIO NEGRO E SOLIMOES;130320 - NOVO AIRAO;187;128;68,45;188;152;80,85;189;66;34,92;564;346;61,35;
AM;RIO NEGRO E SOLIMOES;;3297;2757;83,62;3328;2629;79,00;3358;1687;50,24;9983;7073;70,85;
AM;;;39826;28823;72,37;40378;24733;61,25;40995;17807;43,44;121199;71363;58,88;
AP;1 REGIONAL DE SAUDE;160021 - CUTIAS;67;100;149,25;67;81;120,90;67;40;59,70;201;221;109,95;
AP;1 REGIONAL DE SAUDE;160030 - MACAPA;4331;4201;97,00;4498;3442;76,52;4691;2675;57,02;13520;10318;76,32;
AP;1 REGIONAL DE SAUDE;160025 - ITAUBAL;61;30;49,18;59;31;52,54;58;30;51,72;178;91;51,12;
AP;1 REGIONAL DE SAUDE;160040 - MAZAGAO;254;99;38,98;259;81;31,27;263;63;23,95;776;243;31,31;
AP;1 REGIONAL DE SAUDE;160060 - SANTANA;1172;784;66,89;1201;805;67,03;1232;653;53,00;3605;2242;62,19;
AP;1 REGIONAL DE SAUDE;160020 - CALCOENE;120;147;122,50;121;120;99,17;122;63;51,64;363;330;90,91;
AP;1 REGIONAL DE SAUDE;160050 - OIAPOQUE;255;117;45,88;249;76;30,52;242;69;28,51;746;262;35,12;
AP;1 REGIONAL DE SAUDE;160055 - PRACUUBA;60;33;55,00;57;39;68,42;53;44;83,02;170;116;68,24;
AP;1 REGIONAL DE SAUDE;160053 - PORTO GRANDE;221;158;71,49;220;139;63,18;219;66;30,14;660;363;55,00;
AP;1 REGIONAL DE SAUDE;160005 - SERRA DO NAVIO;54;70;129,63;55;50;90,91;56;43;76,79;165;163;98,79;
AP;1 REGIONAL DE SAUDE;160023 - FERREIRA GOMES;80;0;0;84;0;0;87;0;0;251;0;0;
AP;1 REGIONAL DE SAUDE;160080 - VITORIA DO JARI;172;94;54,65;179;83;46,37;185;66;35,68;536;243;45,34;
AP;1 REGIONAL DE SAUDE;160027 - LARANJAL DO JARI;502;254;50,60;514;250;48,64;526;197;37,45;1542;701;45,46;
AP;1 REGIONAL DE SAUDE;160015 - PEDRA BRANCA DO AMAPARI;142;153;107,75;143;102;71,33;145;82;56,55;430;337;78,37;
AP;1 REGIONAL DE SAUDE;;7491;6240;83,30;7706;5299;68,76;7946;4091;51,49;23143;15630;67,54;
AP;2 REGIONAL DE SAUDE;160010 - AMAPA;109;100;91,74;109;94;86,24;109;53;48,62;327;247;75,54;
AP;2 REGIONAL DE SAUDE;160070 - TARTARUGALZINHO;187;157;83,96;184;136;73,91;181;91;50,28;552;384;69,57;
AP;2 REGIONAL DE SAUDE;;296;257;86,82;293;230;78,50;290;144;49,66;879;631;71,79;
AP;;;7787;6497;83,43;7999;5529;69,12;8236;4235;51,42;24022;16261;67,69;
BA;GANDU;290540 - CAIRU;150;164;109,33;154;150;97,40;159;167;105,03;463;481;103,89;
BA;GANDU;291120 - GANDU;287;203;70,73;292;191;65,41;298;99;33,22;877;493;56,21;
BA;GANDU;292070 - MARAU;208;159;76,44;207;83;40,10;205;77;37,56;620;319;51,45;
BA;GANDU;290580 - CAMAMU;404;136;33,66;419;121;28,88;435;92;21,15;1258;349;27,74;
BA;GANDU;291730 - ITUBERA;259;226;87,26;263;188;71,48;267;128;47,94;789;542;68,69;
BA;GANDU;293120 - TAPEROA;202;81;40,10;209;45;21,53;217;34;15,67;628;160;25,48;
BA;GANDU;293290 - VALENCA;845;801;94,79;868;730;84,10;889;783;88,08;2602;2314;88,93;
BA;GANDU;291345 - IGRAPIUNA;149;133;89,26;157;101;64,33;167;77;46,11;473;311;65,75;
BA;GANDU;292275 - NOVA IBIA;62;74;119,35;62;48;77,42;61;33;54,10;185;155;83,78;
BA;GANDU;293160 - TEOLANDIA;135;113;83,70;139;122;87,77;142;85;59,86;416;320;76,92;
BA;GANDU;292260 - NILO PECANHA;130;125;96,15;134;130;97,01;138;92;66,67;402;347;86,32;
BA;GANDU;292467 - PIRAI DO NORTE;94;102;108,51;99;100;101,01;104;98;94,23;297;300;101,01;
BA;GANDU;293350 - WENCESLAU GUIMARAES;232;147;63,36;240;135;56,25;247;90;36,44;719;372;51,74;
BA;GANDU;;3157;2464;78,05;3243;2144;66,11;3329;1855;55,72;9729;6463;66,43;
BA;IRECE;291460 - IRECE;620;545;87,90;637;373;58,56;656;233;35,52;1913;1151;60,17;
BA;IRECE;291915 - LAPAO;248;352;141,94;249;283;113,65;247;172;69,64;744;807;108,47;
BA;IRECE;293240 - UIBAI;115;73;63,48;121;56;46,28;128;53;41,41;364;182;50,00;
BA;IRECE;290760 - CENTRAL;165;113;68,48;171;65;38,01;177;55;31,07;513;233;45,42;
BA;IRECE;291240 - IBIPEBA;158;144;91,14;157;136;86,62;154;76;49,35;469;356;75,91;
BA;IRECE;291310 - IBITITA;164;51;31,10;163;73;44,79;161;50;31,06;488;174;35,66;
BA;IRECE;291850 - JUSSARA;145;135;93,10;146;129;88,36;147;106;72,11;438;370;84,47;
BA;IRECE;290620 - CANARANA;254;265;104,33;257;223;86,77;260;143;55,00;771;631;81,84;
BA;IRECE;290530 - CAFARNAUM;176;141;80,11;184;160;86,96;195;86;44,10;555;387;69,73;
BA;IRECE;290323 - BARRO ALTO;141;78;55,32;141;51;36,17;141;70;49,65;423;199;47,04;
BA;IRECE;292925 - SAO GABRIEL;177;163;92,09;178;90;50,56;180;64;35,56;535;317;59,25;
BA;IRECE;293360 - XIQUE-XIQUE;487;265;54,41;496;207;41,73;504;142;28,17;1487;614;41,29;
BA;IRECE;291835 - JOAO DOURADO;237;166;70,04;240;111;46,25;243;97;39,92;720;374;51,94;
BA;IRECE;291130 - GENTIO DO OURO;109;109;100,00;113;97;85,84;116;43;37,07;338;249;73,67;
